"","city","round","CASEID","rc_score","num_relationships"
"1",1,1,101,4.46428571428571,4
"2",1,1,102,2.23809523809524,6
"3",1,1,103,2.48571428571429,5
"4",1,1,104,3.34285714285714,10
"5",1,1,105,3.0952380952381,12
"6",1,1,106,3.55952380952381,12
"7",1,1,107,4.61224489795918,7
"8",1,1,108,3.84285714285714,10
"9",1,1,109,4.71428571428571,2
"10",1,1,110,3.72527472527473,13
"11",1,1,111,2.89010989010989,13
"12",1,1,112,3.82142857142857,4
"13",1,1,113,3.76190476190476,6
"14",1,1,114,3.13186813186813,13
"15",1,2,101,4.5,6
"16",1,2,104,3.73809523809524,6
"17",1,2,105,3.55714285714286,10
"18",1,2,106,3.97402597402597,11
"19",1,2,108,4.07936507936508,9
"20",1,2,109,3.19047619047619,9
"21",1,2,110,3.53846153846154,13
"22",1,2,111,3.05357142857143,8
"23",1,2,112,4.17142857142857,10
"24",1,2,113,3.77380952380952,12
"25",1,2,114,3.92857142857143,6
"26",1,2,116,3.8051948051948,11
"27",1,3,101,4.77142857142857,5
"28",1,3,104,4,6
"29",1,3,105,3.32467532467532,11
"30",1,3,106,3.97402597402597,11
"31",1,3,107,4.33928571428571,8
"32",1,3,108,3.40659340659341,13
"33",1,3,109,4.02380952380952,12
"34",1,3,110,3.82417582417582,13
